geoname_id,country,region
1803551,CH,16
1803567,CH,24
1803590,CH,29
1803616,CH,11
1803670,CH,29
1803782,CH,12
1803791,CH,30
1803834,CH,25
1803936,CH,15
1804120,CH,30
1804153,CH,32
1804169,CH,11
1804386,CH,12
1804430,CH,15
1804442,CH,02
1804540,CH,10
1804586,CH,25
1804591,CH,25
1804609,CH,16
1804651,CH,29
1804850,CH,29
1804879,CH,09
1804909,CH,04
1805012,CH,09
1805179,CH,03
1805270,CH,11
1805334,CH,02
1805336,CH,19
1805360,CH,04
1805380,CH,11
1805399,CH,29
1805518,CH,25
1805528,CH,02
1805567,CH,10
1805639,CH,04
1805680,CH,03
1805688,CH,07
1805753,CH,25
1805757,CH,25
1805763,CH,07
1805833,CH,24
1805880,CH,30
1805953,CH,02
1805987,CH,09
1806096,CH,25
1806097,CH,07
1806124,CH,32
1806146,CH,29
1806222,CH,03
1806248,CH,03
1806260,CH,04
1806295,CH,29
1806299,CH,30
1806408,CH,30
1806445,CH,03
1806466,CH,32
1806488,CH,31
1806535,CH,02
1806602,CH,02
1806624,CH,24
1806691,CH,11
1806776,CH,30
1806787,CH,09
1806840,CH,04
1806882,CH,30
1806949,CH,12
1807112,CH,12
1807143,CH,02
1807254,CH,25
1807544,CH,22
1807566,CH,18
1807598,CH,12
1807681,CH,01
1807689,CH,11
1807700,CH,01
1808198,CH,25
1808316,CH,11
1808370,CH,11
1808392,CH,10
1808520,CH,09
1808593,CH,24
1808614,CH,10
1808722,CH,01
1808770,CH,09
1808773,CH,10
1808857,CH,26
1808872,CH,07
1808926,CH,02
1808956,CH,24
1808963,CH,10
1809054,CH,31
1809078,CH,31
1809104,CH,22
1809263,CH,26
1809380,CH,33
1809412,CH,02
1809445,CH,18
1809461,CH,18
1809498,CH,07
1809532,CH,16
1809610,CH,12
1809858,CH,30
1809867,CH,16
1809879,CH,12
1809935,CH,30
1810240,CH,29
1810295,CH,30
1810309,CH,04
1810458,CH,25
1810614,CH,10
1810638,CH,03
1810676,CH,15
1810820,CH,03
1810821,CH,07
1810845,CH,02
1810846,CH,02
1810900,CH,16
1810920,CH,25
1810979,CH,33
1811017,CH,07
1811103,CH,30
1811227,CH,22
1811416,CH,07
1811440,CH,25
1811542,CH,22
1811619,CH,12
1811720,CH,12
1811729,CH,30
1811764,CH,18
1811926,CH,26
1812057,CH,30
1812101,CH,25
1812228,CH,04
1812256,CH,20
1812545,CH,30
1812568,CH,19
1812749,CH,15
1812826,CH,31
1812949,CH,01
1812955,CH,25
1812961,CH,32
1812981,CH,02
1813206,CH,12
1813325,CH,32
1813392,CH,25
1813658,CH,02
1813802,CH,04
1813828,CH,12
1813851,CH,01
1813869,CH,02
1814082,CH,30
1814087,CH,19
1814093,CH,29
1814757,CH,01
1814760,CH,29
1814786,CH,30
1814870,CH,02
1814905,CH,33
1814906,CH,33
1814915,CH,23
1814934,CH,01
1814965,CH,18
1814973,CH,24
1814991,CH,00
1815059,CH,11
1815251,CH,04
1815286,CH,32
1815302,CH,30
1815395,CH,30
1815408,CH,23
1815427,CH,01
1815456,CH,04
1815469,CH,18
1815482,CH,25
1815577,CH,11
1815669,CH,25
1816080,CH,10
1816234,CH,01
1816265,CH,25
1816269,CH,16
1816316,CH,01
1816336,CH,25
1816373,CH,18
1816440,CH,01
1816670,CH,22
1816705,CH,16
1816734,CH,22
1816784,CH,23
1816790,CH,33
1816807,CH,32
1816832,CH,10
1816917,CH,23
1816971,CH,10
1817118,CH,18
1817968,CH,18
1817993,CH,01
1818004,CH,29
1818016,CH,12
1818058,CH,01
1820071,BX,04
1820187,BX,01
1820491,BX,01
1820573,BX,00
1820657,BX,04
1820680,BX,02
1820814,BX,00
1820903,BX,03
1820906,BX,02
1821306,CB,22
1821935,CB,07
1821940,CB,19
1821993,CB,18
1822029,CB,17
1822227,CB,10
1822610,CB,14
1822768,CB,12
1824888,CB,24
1827090,CB,04
1827831,CB,27
1828165,CB,00
1829601,CB,04
1830194,CB,25
1830205,CB,30
1830467,CB,26
1830468,CB,08
1830564,CB,09
1831112,CB,21
1831125,CB,05
1831142,CB,28
1831167,CB,03
1831173,CB,02
1831722,CB,00
1831732,CB,23
1831797,CB,29
1885682,CH,04
1885823,CH,32
1886760,CH,04
1887424,CH,23
1887621,CH,23
1887637,CH,23
1907401,CH,07
1908438,CH,12
1909735,CH,33
1909945,CH,07
1911837,CH,18
1912136,CH,22
1912606,CH,28
1913280,CH,30
1914540,CH,30
1914723,CH,31
1915161,CH,30
1915223,CH,30
1915956,CH,31
1916045,CH,31
1917591,CH,31
1917779,CH,31
1920415,CH,30
1920915,CH,07
1922084,CH,07
1922176,CH,07
1923538,CH,13
1923930,CH,03
1923935,CH,03
1924018,CH,03
1924737,CH,03
1924742,CH,03
1928504,CH,11
1929038,CH,11
1929687,CH,11
1984926,CH,07
1985105,CH,02
1993966,CH,16
1997068,CH,30
1998029,CH,30
2000611,CH,26
2002452,CH,07
2004186,CH,07
2006091,CH,07
2006671,CH,07
2006742,CH,07
2007225,CH,07
2007640,CH,07
2033135,CH,05
2033168,CH,08
2033196,CH,10
2033413,CH,08
2033458,CH,22
2033536,CH,20
2033675,CH,19
2033881,CH,10
2034048,CH,10
2034141,CH,08
2034400,CH,20
2034414,CH,05
2034439,CH,19
2034655,CH,08
2034657,CH,08
2034714,CH,05
2034754,CH,22
2034786,CH,08
2034834,CH,08
2034937,CH,19
2035002,CH,08
2035225,CH,08
2035261,CH,08
2035265,CH,08
2035469,CH,22
2035601,CH,08
2035607,CH,20
2035715,CH,08
2035754,CH,05
2035801,CH,05
2035966,CH,05
2036113,CH,19
2036115,CH,19
2036427,CH,19
2036500,CH,05
2036502,CH,05
2036536,CH,05
2036581,CH,08
2036892,CH,20
2036965,CH,08
2036973,CH,08
2036986,CH,08
2037013,CH,08
2037069,CH,08
2037075,CH,08
2037346,CH,19
2037355,CH,19
2037375,CH,08
2037411,CH,19
2037658,CH,05
2037691,CH,19
2037705,CH,19
2037799,CH,24
2037823,CH,19
2037860,CH,08
2037886,CH,19
2038067,CH,20
2038120,CH,19
2038154,CH,22
2038180,CH,05
2038199,CH,10
2038300,CH,19
2038319,CH,22
2038335,CH,22
2038349,CH,22
2038432,CH,20
2038584,CH,05
2038632,CH,19
2038650,CH,08
2038679,CH,08
2052492,CH,22
2057273,AS,05
2057277,AS,08
2057575,AS,08
2057614,AS,08
2057705,AS,08
2057730,AS,08
2057751,AS,08
2057897,AS,02
2057904,AS,05
2057987,AS,08
2058005,AS,08
2058185,AS,04
2058225,AS,08
2058273,AS,05
2058304,AS,07
2058325,AS,05
2058430,AS,05
2058645,AS,08
2058682,AS,08
2058708,AS,08
2058710,AS,05
2058823,AS,05
2059047,AS,08
2059124,AS,08
2059175,AS,08
2059245,AS,08
2059263,AS,05
2059362,AS,05
2059372,AS,08
2059470,AS,05
2059507,AS,08
2059539,AS,08
2059577,AS,05
2059582,AS,05
2059589,AS,05
2059689,AS,05
2059830,AS,05
2059837,AS,05
2059895,AS,08
2059981,AS,05
2060087,AS,08
2060275,AS,08
2060384,AS,05
2060436,AS,03
2060579,AS,05
2060604,AS,05
2060703,AS,05
2060771,AS,08
2060785,AS,08
2060852,AS,05
2060886,AS,08
2060898,AS,05
2060951,AS,05
2060993,AS,08
2061039,AS,07
2061115,AS,05
2061144,AS,05
